id,IsDefault,is_no_bank_call,payfrequency,NumOfDigitsInEmailUsername,FraudScore,IsCheapCampaign,lead_cost,loantoincome,bankmonths,requestedamount,netmonthly,FraudScoreBucketSmall,BankBehaviorBucketSmall,bankyears,incometype,BankScore2,BankScore,n_months_address,IsHurricaneHarvey,DistFromAddressBucket,AddressContactScore,EmailContactScore,PhoneContactScore,ssn_to_bankaccount,PhoneCarrier
1,0,FALSE,B,0,500,No,40,13.79,0,500,3625,a_less719,a_less799,1,E,699,765,120,TRUE,c_10to25,2,3,1,2,US
2,0,FALSE,B,6,500,No,40,20,0,500,2500,a_less719,b_800to899,3,E,746,896,12,TRUE,c_10to25,3,1,3,3,Sprint
3,0,TRUE,B,4,500,No,40,25,3,500,2000,a_less719,a_less799,0,E,703,489,120,FALSE,c_10to25,1,1,1,3,Sprint
4,1,FALSE,B,1,501,No,20,11.15,0,300,2691,a_less719,a_less799,1,E,600,674,0,FALSE,a_less3,3,2,3,0,Metro PCS
5,0,FALSE,B,0,502,No,40,10,9,500,5000,a_less719,a_less799,0,E,571,546,48,TRUE,NONE,4,3,3,2,US
6,0,FALSE,B,4,502,No,40,40,0,1000,2500,a_less719,a_less799,3,E,682,737,48,FALSE,a_less3,3,1,1,0,Sprint
7,1,FALSE,B,0,502,No,40,16.67,6,500,3000,a_less719,a_less799,1,E,531,568,24,FALSE,d_25to300,3,2,1,3,Sprint
8,0,FALSE,B,0,502,No,40,8.33,0,500,6000,a_less719,a_less799,2,E,752,716,24,FALSE,NONE,3,2,3,1,Verizon Wireless
9,1,FALSE,B,0,503,No,20,6.67,0,200,3000,a_less719,b_800to899,1,E,685,841,12,FALSE,c_10to25,3,1,1,2,Sprint
10,1,FALSE,B,2,503,No,40,33.33,0,1000,3000,a_less719,a_less799,1,E,558,622,72,FALSE,d_25to300,3,1,3,1,Metro PCS
11,0,FALSE,B,2,503,No,40,28.57,10,1000,3500,a_less719,a_less799,2,E,773,782,82,FALSE,c_10to25,1,1,1,2,Sprint
12,0,FALSE,B,0,503,No,25,20,3,300,1500,a_less719,a_less799,1,E,712,783,36,TRUE,b_3to10,1,1,1,1,T-Mobile USA
13,0,FALSE,B,2,503,No,50,66.67,0,1000,1500,a_less719,a_less799,3,E,607,774,36,FALSE,d_25to300,3,1,1,0,T-Mobile USA
