carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Premium,J,VS2,61.2,60,1940,5.73,5.7,3.5
1.02,Good,I,SI1,64.2,53,3998,6.3,6.26,4.03
1.07,Ideal,H,SI1,62,57,4918,6.56,6.51,4.05
1.2,Very Good,G,SI2,62.6,60,5116,6.68,6.74,4.2
0.34,Very Good,E,SI1,60.3,57,596,4.53,4.56,2.74
0.33,Ideal,F,VVS1,61.3,55,939,4.45,4.46,2.73
0.42,Premium,D,VVS2,59.6,59,1132,4.9,4.96,2.94
1.5,Premium,H,SI1,62.7,58,9768,7.27,7.34,4.58
1.2,Very Good,H,VS2,62.5,60,7072,6.72,6.78,4.22
2,Premium,E,SI2,61.8,56,18426,8.12,8.05,5
0.43,Ideal,G,SI1,62.2,54,763,4.84,4.88,3.02
0.59,Ideal,D,VS2,61.4,57,1978,5.39,5.4,3.31
1.3,Very Good,E,SI1,59.1,60,7963,7.12,7.17,4.22
0.56,Fair,F,VS2,57,67,1814,5.49,5.36,3.09
0.9,Good,J,SI2,63.9,56,2717,6.17,6.1,3.92
0.5,Very Good,F,VS1,59.9,61,1550,5.13,5.16,3.08
1.41,Premium,G,VS1,62.1,59,11347,7.1,7.06,4.4
1.07,Premium,G,SI2,62.9,59,4401,6.58,6.51,4.12
0.9,Good,J,SI2,63.9,56,2693,6.1,6.17,3.92
1.97,Premium,F,SI2,61.1,58,14410,8.05,8.11,4.94
0.31,Premium,D,VS2,62.6,59,734,4.3,4.33,2.7
1.13,Ideal,G,SI1,61.8,55,5759,6.71,6.75,4.16
1.11,Ideal,G,SI1,62,57,5127,6.69,6.61,4.12
0.99,Fair,I,SI2,68.1,56,2811,6.21,6.06,4.18
0.9,Good,E,SI2,63.6,59,3584,6.05,6.09,3.86
0.3,Ideal,E,VS2,62.1,55,844,4.35,4.32,2.69
1.06,Ideal,H,SI2,60.6,55,4622,6.62,6.65,4.02
0.53,Ideal,H,VS1,61.6,57,1577,5.18,5.24,3.21
0.77,Premium,E,SI2,59.8,56,2723,6.01,5.96,3.58
0.54,Ideal,G,SI2,61.8,54,1133,5.24,5.28,3.25
1.5,Ideal,I,VS1,61.3,57,10080,7.35,7.32,4.5
0.23,Very Good,E,VS2,62.5,59,373,3.91,3.96,2.46
1.06,Premium,F,SI1,61.9,58,4862,6.58,6.53,4.06
2.02,Very Good,J,VS2,62.6,58,13499,8.03,8.1,5.05
1,Very Good,E,VVS2,63,58,9224,6.33,6.36,4
2.01,Very Good,I,VS1,62.9,62,16914,7.98,8.02,5.03
0.9,Ideal,H,SI2,61.8,57,4101,6.17,6.19,3.82
0.5,Very Good,F,VS1,58.8,60,1657,5.18,5.2,3.05
0.51,Premium,G,VS1,62.2,58,1662,5.11,5.09,3.17
1.41,Ideal,J,VS1,61.6,56,8275,7.19,7.22,4.44
0.71,Fair,J,SI2,66.1,58,1362,5.53,5.43,3.62
1.66,Very Good,H,SI1,63.3,59,8831,7.48,7.45,4.72
1.02,Good,H,SI1,57.1,61,4093,6.57,6.66,3.78
1.02,Very Good,G,SI1,63,55,4633,6.4,6.45,4.05
1.01,Ideal,G,SI2,63.2,57,4038,6.33,6.28,3.99
0.57,Ideal,F,SI1,61.6,56,1397,5.36,5.33,3.29
0.56,Ideal,E,VS2,60.9,56,1819,5.32,5.35,3.25
0.82,Ideal,H,SI1,62.4,56,2617,6.05,6,3.76
0.51,Ideal,G,VVS2,61.8,56,2197,5.11,5.15,3.16
0.52,Very Good,D,SI1,60.5,61,1408,5.19,5.23,3.15
1.12,Ideal,G,VS1,62.2,56,7827,6.71,6.67,4.16
0.71,Ideal,G,SI1,62.1,56,2650,5.69,5.74,3.55
1.51,Premium,I,VS2,60.9,60,9471,7.46,7.33,4.5
0.9,Fair,I,I1,67.2,60,1786,5.96,5.88,3.98
1.29,Very Good,G,SI2,63.2,54,4045,6.96,6.94,4.39
0.31,Fair,F,VVS1,63.1,61,740,4.32,4.37,2.74
1.12,Ideal,F,VS2,61.9,55,7589,6.68,6.73,4.15
2,Fair,I,SI2,67.7,57,10483,7.88,7.64,5.26
0.53,Premium,H,IF,62.5,59,1957,5.15,5.18,3.23
0.31,Ideal,D,SI1,62,55,732,4.38,4.36,2.71
0.95,Very Good,J,VVS2,60.5,59,4098,6.33,6.36,3.84
1.61,Premium,D,SI1,59,60,12231,7.68,7.6,4.51
0.52,Very Good,E,SI2,60.7,56,1112,5.17,5.21,3.15
0.34,Ideal,E,VS1,62.1,56,1033,4.5,4.48,2.79
0.91,Premium,E,SI1,61.5,60,3911,6.19,6.24,3.82
2.14,Ideal,G,SI2,62.9,56,14359,8.18,8.14,5.13
0.28,Ideal,E,VS1,62,57,598,4.17,4.2,2.59
